,0
916,15150506
917,17287015
918,17301392
919,150901428
920,13648111
921,18033782
922,17051143
923,154046116
924,150644913
925,341178701
926,253888963
927,21204708
928,13894906
929,153896436
930,17746299
931,12916715
932,17377064
933,147994090
934,348077880
935,10215792
936,14901176
937,19411580
938,13012387
939,15918781
940,19574962
941,22014960
942,14419994
943,11713321
944,260359940
945,12606457
946,11883935
947,399476721
948,14608518
949,149552888
950,15041540
951,12493588
952,154251567
953,8623386
954,9866060
955,9851208
956,13423397
957,9120145
958,340151617
959,13056066
960,148177172
961,10675368
962,9903116
963,14259317
964,154457199
965,14117422
966,14502359
967,16012514
968,11113951
969,17285000
970,17579165
971,15843122
972,152535696
973,152992530
974,25822121
975,11792730
976,11942230
977,17088749
978,11862552
979,6413566
980,8657092
981,347821185
982,13168928
983,16052946
984,4142721
985,12045675
986,10202568
987,13037548
988,14011352
989,12174121
990,21026829
991,342899573
992,147990549
993,153708912
994,13811828
995,17228053
996,9849623
997,7635719
998,18339165
999,13959655
1000,260801497
1001,21591747
1002,257138822
1003,12639022
1004,13633829
1005,16893208
1006,152426297
1007,9144411
1008,9618541
1009,14008861
1010,147654584
1011,15798900
1012,14956096
1013,336598023
1014,14619264
1015,18294851
1016,16504816
1017,20847029
1018,16594711
1019,336673763
1020,149004918
1021,23918767
1022,17847672
1023,10745093
1024,19312377
1025,14886861
1026,149768087
1027,17116867
1028,14078003
1029,12082720
1030,9244675
1031,10114309
1032,149286652
1033,14358677
1034,345247681
1035,14791352
1036,334534588
1037,8090681
1038,152794190
1039,9838651
1040,16559580
1041,19245575
1042,15123964
1043,21530664
1044,255448588
1045,24477556
1046,15042123
1047,21039440
1048,152636242
1049,342963203
1050,148727979
1051,13317708
1052,152794597
1053,11061266
1054,12480944
1055,11754895
1056,15913442
1057,15473476
1058,16919325
1059,259972507
1060,12351384
1061,20226346
1062,15199064
1063,16986265
1064,17960500
1065,148905839
1066,15951469
1067,16387944
1068,18450299
1069,17726089
1070,13299572
1071,13890597
1072,13398001
1073,152266329
1074,19560342
1075,16649029
1076,14558535
1077,16005376
1078,15684924
1079,258638395
1080,261508942
1081,14100374
1082,344688213
1083,10399119
1084,15616033
1085,11804462
1086,19209785
1087,336471547
1088,18035850
1089,17215500
1090,260370166
1091,14703697
1092,12841821
1093,18531158
1094,6485579
1095,342527869
1096,8828352
1097,16575133
1098,8094921
1099,344261890
1100,336110336
1101,9750634
1102,20793248
1103,17258936
1104,14476480
1105,18655581
1106,10773663
1107,12702930
1108,19239682
1109,255167671
1110,147443696
1111,17885061
1112,151174246
1113,18994422
1114,12786136
1115,8598980
1116,259286846
1117,10373869
1118,339089879
1119,156990680
1120,147211492
1121,20674282
1122,12619171
1123,2037436
1124,260303930
1125,21698143
1126,9938071
1127,10533506
1128,16476521
1129,337828849
1130,12684444
1131,398389761
1132,15610572
1133,261484785
1134,14071193
1135,142757295
1136,8852051
1137,18050456
1138,260453970
1139,14096698
1140,260392193
1141,19491778
1142,257531296
1143,12847724
1144,14873228
1145,18482846
1146,16052072
1147,17425131
1148,22980823
1149,6420599
1150,14759079
1151,11689233
1152,18086717
1153,12788937
1154,13831632
1155,12853200
1156,12496550
1157,9534488
1158,13481008
1159,10406775
1160,14240808
1161,21453027
1162,262614070
1163,256002003
1164,23190104
1165,14922070
1166,21693805
1167,15062444
1168,149185412
1169,18156547
1170,21026301
1171,344553789
1172,19963568
1173,18418048
1174,15117427
1175,14091338
1176,19380442
1177,18056118
1178,149934520
1179,13287311
1180,12718262
1181,258361139
1182,150924767
1183,14145714
1184,149847201
1185,21522145
1186,336874416
1187,7497635
1188,8521710
1189,11019169
1190,8409127
1191,148184769
1192,18429495
1193,257692453
1194,8951119
1195,20022685
1196,14652593
1197,150314064
1198,11570641
1199,10839527
1200,149608480
1201,11785724
1202,260611056
1203,15358242
1204,9987143
1205,336457011
1206,18393790
1207,19576119
1208,262940817
1209,15769139
1210,258251947
1211,13571258
1212,12645594
1213,147108384
1214,17623787
1215,16506907
1216,25516873
1217,19538176
1218,12813080
1219,10797099
1220,261794743
1221,18683738
1222,19196257
1223,339972233
1224,12641225
1225,20644293
1226,10356517
1227,143482132
1228,257418226
1229,22299618
1230,18597643
1231,344152481
1232,146430897
1233,15123690
1234,265689030
1235,15157233
1236,343792055
1237,19714467
1238,11926609
1239,258742246
1240,17539994
1241,18177909
1242,17009870
1243,341508120
1244,398691493
1245,19682830
1246,15521553
1247,23227821
1248,11426511
1249,21682878
1250,11911472
1251,146847861
1252,259355783
1253,258077619
1254,397567508
1255,12239668
1256,15909535
1257,12459725
1258,14014614
1259,21849155
1260,13273903
1261,13046310
1262,24056672
1263,13591066
1264,19245539
1265,11214718
1266,12868799
1267,17727121
1268,21301114
1269,14498969
1270,14455080
1271,12816991
1272,15514192
1273,19028358
1274,259928711
1275,14524013
1276,12348486
1277,16940229
1278,337133544
1279,258739263
1280,18892510
1281,14946070
1282,342413057
1283,344849425
1284,22777041
1285,146587202
1286,14007554
1287,8473515
1288,9446416
1289,343015713
1290,15403093
1291,8313885
