,0
824,10736758
825,10873342
826,10870815
827,10767643
828,10640592
829,10940600
830,10630509
831,10711824
832,10413350
833,10510139
834,10585848
835,10803622
836,10673199
837,10774777
838,10556869
839,10753795
840,10687043
841,10649491
842,10607066
843,10665014
844,10588011
845,10971647
846,10626284
847,10451561
848,10773199
849,10901134
850,10715994
851,10772308
852,10570110
853,10687890
854,10730967
855,10683520
856,10830295
857,10719185
858,10754390
859,10836767
860,10606568
861,10760347
862,10453519
863,10830456
864,10526799
865,10686338
866,10847197
867,10746988
868,10745946
869,10715630
870,10702353
871,10531872
872,10852318
873,10688926
874,10701255
875,10609675
876,10810745
877,10777729
878,10694034
879,10505218
880,10760539
881,10798541
882,10637198
883,10710863
884,10754263
885,10575558
886,10889982
887,10530861
888,10557367
889,10724399
890,10796156
891,10629123
892,10667509
893,10723824
894,10823004
895,10585397
896,10771347
897,10784270
898,10537199
899,10714620
900,10754502
901,10679785
902,10538057
903,10526752
904,10608226
905,10516760
906,10718174
907,10606937
908,10789102
909,10773368
910,10791003
911,10732010
912,10840725
913,10818797
914,10673878
915,10735706
916,10454662
917,10710388
918,10685431
919,10760692
920,10564127
921,10691079
922,10777636
923,10846446
924,10647174
925,10551533
926,10767123
927,10816647
928,10667415
929,10655282
930,10505466
931,10635048
932,10623512
933,10654965
934,10685079
935,10564327
936,10929690
937,10741735
938,10519540
939,10632098
940,10760976
941,10401888
942,10665623
943,10610263
944,10733111
945,10621212
946,10602740
947,10857055
948,10785558
949,10988245
950,10587663
951,10889276
952,10501698
953,10570217
954,10743943
955,10624926
956,10944787
957,10618878
958,10732794
959,10788324
960,10369161
961,10620753
962,10628722
963,10616134
964,10748498
965,10686771
966,10787688
967,10524354
968,10758679
969,10723921
970,10733927
971,10640285
972,10708799
973,10731220
974,10617281
975,10907241
976,10669454
977,10499736
978,10614261
979,10753323
980,10497020
981,10525396
982,10590256
983,10674490
984,10495943
985,10679068
986,10808901
987,10586282
988,10547591
989,10778967
990,10577075
991,10503881
992,10573375
993,10565024
994,10442525
995,10687067
996,10846925
997,10538940
998,10810157
999,10641666
1000,10577219
1001,10635055
1002,10723296
1003,10601437
1004,10815774
1005,10825001
1006,10717605
1007,10635977
1008,10876770
1009,10740592
1010,10606893
1011,10793030
1012,10667137
1013,10765283
1014,10662491
1015,10757456
1016,10734420
1017,10903918
1018,10783045
1019,10738125
1020,10780434
1021,10718313
1022,10578807
1023,10647153
1024,10718839
1025,10664767
1026,10894614
1027,10727501
1028,10778519
1029,11071503
1030,10677851
1031,10643918
1032,10493905
1033,10783575
