,0
755,11991478
756,22460120
757,26196238
758,21705724
759,20973628
760,26057816
761,19574354
762,20166640
763,17747660
764,19319486
765,17143520
766,23482480
767,12126158
768,9547432
769,18177636
770,21428638
771,19795224
772,15547964
773,19949996
774,15621542
775,13489030
776,19933768
777,20967666
778,18124108
779,23760844
780,9449866
781,19574182
782,18098258
783,27466908
784,13959386
785,15159794
786,22136692
787,9423702
788,13033046
789,15863154
790,21968876
791,16251838
792,16202294
793,8003349
794,22208846
795,11160184
796,28351294
797,15231164
798,12882582
799,13693502
800,12780782
801,14275034
802,22952448
803,12798634
804,13822990
805,14923072
806,24631796
807,14740878
808,25239220
809,12860104
810,21226444
811,8290060
812,21430404
813,21269914
814,18029314
815,11391238
816,20473486
817,20501506
818,21930346
819,19824020
820,12012962
821,11848870
822,21398884
823,24126224
824,10570324
825,11042006
826,17042926
827,14441592
828,14146920
829,14145162
830,23622654
831,20579470
832,26558590
833,24685082
834,22643788
835,21205278
836,18293016
837,17195456
838,15388564
839,22251930
840,20026148
841,12741442
842,24841260
843,20034860
844,21153468
845,19902794
846,12685314
847,24256446
848,17840960
849,19349824
850,14151502
851,14654390
852,15302352
853,14819670
854,13522942
855,7853730
856,13757886
857,16351964
858,19364412
859,23912116
860,26055102
861,16450254
862,10256522
863,18389128
864,16439298
865,15554832
866,21841864
867,25111120
868,18414116
869,18725354
870,11054712
871,20473334
872,14598938
873,24593816
874,14762172
875,21599688
876,16827780
877,13831832
878,30694136
879,16803572
880,22481410
881,12642754
882,17533574
883,23975994
884,16214042
885,12103390
886,17159782
887,14930342
888,22490660
889,16150330
890,14069854
891,15647484
892,17572536
893,17024374
894,19075628
895,20782130
896,8086228
897,23499758
898,15113646
899,19817998
900,20351890
901,17843698
902,15533412
903,24591066
904,17335168
905,18441178
906,18805802
907,14980582
908,11470872
909,25676210
910,27197096
911,17069831
912,16463634
913,13906280
914,26056054
915,26742518
916,20720098
917,17630614
918,20004734
919,14141244
920,15407534
921,19495054
922,15198644
923,19479574
924,11547410
925,16804772
926,11815246
927,10068282
928,15108022
929,11006390
930,22490476
931,12152326
932,8509974
933,19382772
934,21579256
935,23174300
936,19214514
937,19338056
938,17599286
939,19457002
940,22804250
941,25437962
942,12633408
943,17225736
944,22889338
945,13804524
946,21891540
947,17680516
948,18020590
949,14267708
950,20710530
951,14923062
952,12951122
953,13388052
954,23774466
955,20271240
956,14878358
957,18964392
958,15401006
959,11271622
960,18115000
961,20508780
962,12999380
963,12147102
964,24649472
965,21363870
966,23047166
967,18508860
968,8975624
969,22077642
970,16424704
971,6839782
972,14333718
973,16706510
974,16694112
975,14595576
976,19400598
977,16810662
978,17023688
979,17651714
980,22820810
981,20461624
982,25265648
983,11958172
984,14636294
985,17238372
986,15148078
987,18411526
988,23367358
989,20659724
990,16298090
991,14012230
992,20383912
993,20332282
994,20311542
995,18999868
996,14652142
997,12548872
998,17514985
999,14828694
1000,21631480
1001,21472228
1002,15693800
1003,14937488
1004,16968780
1005,25981548
1006,19957178
1007,13826472
1008,22825402
1009,19994326
1010,9772736
1011,14367374
1012,23334940
1013,23644826
1014,17097168
1015,20273306
1016,22223984
1017,28632492
1018,21639488
1019,12941416
1020,20216064
1021,8545984
1022,22268174
1023,20089828
1024,15277864
1025,7812157
1026,20379088
1027,24728120
1028,14266380
1029,23582022
1030,19588254
1031,22053584
1032,14102838
1033,12391226
1034,19545710
1035,10729736
1036,19154046
1037,10505500
1038,14615402
1039,14722518
1040,14839048
1041,15455648
1042,19816404
1043,18637966
1044,26975918
1045,20756328
1046,26100960
1047,14478220
1048,21108206
1049,11906090
1050,18577240
1051,20094106
1052,22456102
1053,16082158
1054,12722522
1055,16559525
1056,15892054
1057,19335994
1058,15887450
1059,20010398
1060,16491258
1061,18789418
1062,14311564
1063,14628094
1064,18148848
1065,9909034
1066,11560790
1067,21542244
1068,12453904
1069,21251706
1070,27273818
1071,20380112
1072,17678540
1073,25703550
1074,17084172
1075,11240042
1076,9823234
1077,15555080
1078,14288526
1079,15929350
1080,8112474
1081,11391974
1082,19702878
1083,19165676
1084,18901266
1085,18929790
1086,11337158
1087,20953070
1088,5441406
1089,10943290
1090,16239468
1091,19974076
1092,16307306
1093,10911952
1094,17454886
1095,8483142
1096,13879914
1097,19230910
1098,7372374
1099,17399936
1100,14757404
1101,16403862
1102,17895280
1103,24900264
1104,18084934
1105,16820078
1106,15370206
1107,15873318
1108,18154016
1109,27468048
1110,6870280
1111,20696292
1112,29758400
1113,17793958
1114,19267112
1115,18868580
1116,21089996
1117,13245808
1118,22537646
1119,19592710
1120,23444422
1121,16936840
1122,19379944
1123,12120002
1124,21441812
1125,16099676
1126,17737806
1127,14179368
1128,17248732
1129,20955786
1130,22083536
1131,10210186
1132,13785266
1133,20584526
1134,18275148
1135,23033006
1136,23680000
1137,21458532
1138,22877032
1139,17640368
1140,17842176
1141,24291722
1142,13090240
1143,23724624
1144,20708030
1145,11429158
1146,29409382
1147,21669996
1148,19578948
1149,25315892
1150,21042952
1151,14318154
1152,15952702
1153,21216962
1154,18895134
1155,20705436
1156,17891968
1157,14920632
1158,24190438
1159,16139372
1160,15978138
1161,13896206
1162,12626580
1163,19188246
1164,20693254
1165,18832394
1166,11362632
1167,27408134
1168,24813310
1169,13142586
1170,19776152
1171,17838782
1172,23035940
1173,12880582
1174,15549148
1175,15500298
1176,15023412
1177,12222168
1178,20315648
1179,13158062
1180,16311684
1181,16240896
1182,15288360
1183,17552104
1184,10922740
1185,23332552
1186,13891720
1187,18817994
1188,7151278
1189,19175028
1190,10339464
1191,15480934
1192,20422872
1193,8124870
1194,17935344
1195,21527004
1196,14384500
1197,18088616
1198,12262136
1199,27580388
1200,25514962
1201,23447180
1202,9590374
1203,12361574
1204,20642752
1205,17023730
1206,16558640
1207,20641658
1208,17228548
1209,10739254
1210,11688850
1211,20229152
1212,12980212
1213,16322404
1214,20957944
1215,15570052
1216,23630044
1217,25226022
1218,16598720
1219,19624976
1220,12006168
1221,17789344
1222,22170092
1223,19675566
1224,24955244
1225,23780720
1226,13541820
1227,26475496
1228,20834212
1229,13478600
1230,12796196
1231,23631218
1232,21415136
1233,9384028
1234,11428324
1235,20587058
1236,14907812
1237,11576474
1238,9281550
1239,16853882
1240,19417700
1241,19604448
1242,9391062
1243,13516936
1244,9936514
1245,21552898
1246,22186150
1247,13769164
1248,24696100
1249,19782790
1250,19922150
1251,24708596
1252,18059408
1253,14940606
1254,13057502
1255,20904864
1256,16480644
1257,18694952
1258,17893730
1259,18730074
1260,20995374
1261,18145102
1262,14273120
1263,15160508
1264,11932902
1265,19527712
1266,13935416
1267,16540760
1268,11337322
1269,16333620
1270,23669370
1271,6421644
1272,16241432
1273,14834076
1274,15560370
1275,18233918
1276,10907212
1277,9981496
1278,9515658
1279,13817692
1280,13982662
1281,19520678
1282,14817312
1283,23352216
1284,17350688
1285,15035534
1286,22441366
1287,13366822
1288,17352950
1289,20521964
1290,20633614
1291,22046772
1292,18159978
1293,23984716
1294,18084780
1295,24046764
1296,18894166
1297,19142864
1298,16633868
1299,12212046
1300,19860192
1301,19105084
1302,15123144
1303,17660718
1304,14321466
1305,23165068
1306,14202470
1307,26096264
1308,21023652
1309,18183250
1310,15919630
1311,25611540
1312,13157596
1313,16889972
1314,24928560
1315,22792470
1316,8767646
1317,9387106
1318,25008044
1319,15618642
1320,14733748
1321,19970454
1322,22663192
1323,16071032
1324,9363952
1325,23337548
1326,15102276
1327,16132966
1328,21734724
1329,17590976
1330,20479238
1331,28665244
1332,13444414
1333,22190188
1334,20117170
1335,23135500
1336,13994084
1337,16377814
1338,9930864
1339,20378516
1340,21496222
1341,8409944
1342,21376902
1343,24713100
1344,20322404
1345,16295344
1346,16569432
1347,16834958
1348,13517214
1349,18727828
1350,23764374
1351,16185414
1352,10942470
1353,16486668
1354,18954248
1355,27413172
1356,15205888
1357,16025118
1358,19735194
1359,14603118
1360,15010786
1361,17406426
1362,20109992
1363,17905850
1364,27210936
1365,15089608
1366,21984772
1367,20957684
1368,12392974
1369,22631462
1370,20808804
1371,18241058
1372,18564226
1373,13123228
1374,15690026
1375,26513242
1376,24442124
1377,27179794
1378,18916022
1379,28137100
1380,16097304
1381,14478548
1382,15594776
1383,24277202
1384,16809670
1385,16786746
1386,28923398
1387,24086740
1388,20374626
1389,11987902
1390,22086146
1391,14884882
1392,10511282
1393,20294422
1394,12075896
1395,16294734
1396,18163002
1397,16756172
1398,18928016
1399,27730292
1400,13714048
1401,13412418
1402,22804132
1403,19163950
1404,19362950
1405,18087392
1406,9134190
1407,19895446
1408,26038662
1409,14193918
1410,24441040
1411,15837236
1412,22131690
1413,18817748
1414,10981338
1415,22382572
1416,28268068
1417,21784192
1418,14515026
1419,23807946
1420,18195644
1421,14206180
1422,15174768
1423,19431068
1424,9644996
1425,18374930
1426,16877426
1427,21954796
1428,17287786
1429,19602520
1430,25442350
1431,23420854
1432,16652324
1433,14127572
1434,18814020
1435,17848008
1436,18531056
1437,21805168
1438,17930650
1439,18120758
1440,22918452
1441,17597318
1442,24655116
1443,10878269
1444,13828152
1445,17262490
1446,21367844
1447,9237556
1448,15817442
1449,12922112
1450,24072192
1451,24868166
1452,22690544
1453,14051552
1454,21026564
1455,19972704
1456,18321380
1457,20231402
1458,19694190
1459,16848074
1460,10585950
1461,18646242
1462,16836304
1463,22927926
1464,19079006
1465,25280952
1466,19353324
1467,20338372
1468,22429032
1469,23023326
1470,24499834
1471,24706322
1472,16762232
1473,19425694
1474,10542428
1475,29067980
1476,13208546
1477,5784508
1478,23049810
1479,14454869
1480,21127600
1481,23646656
1482,19519000
1483,13933986
1484,19660322
1485,9104368
1486,14874640
1487,15494128
1488,14815266
1489,17806740
1490,17107780
1491,24181680
1492,12806836
1493,16841584
1494,13519788
1495,18178646
1496,17309882
1497,16502949
1498,26859078
1499,22672948
1500,17202982
1501,15326302
1502,20525032
1503,11265398
1504,17982798
1505,8936405
1506,21192534
1507,22205164
1508,16525832
1509,14001358
1510,24943018
1511,14682076
1512,15060796
1513,14494166
1514,22369728
1515,18590008
1516,23470866
1517,20174162
1518,16912860
1519,25014128
1520,20714052
1521,17427922
1522,20539036
1523,19983254
1524,14956450
1525,14796848
1526,14693980
1527,23340100
1528,17400534
1529,21396312
1530,16727666
1531,15086070
1532,11787402
1533,17800442
1534,8820564
1535,13737922
1536,14200374
